,source,confidence,target,weight
0,MYC,A,TERT,1.0
1,ETV4,A,TNF,1.0
2,ETV4,A,TIMP2,1.0
3,ETV4,A,BDKRB1,1.0
4,ETV3,A,NFKB1,-1.0
5,ETS2,A,VWF,1.0
6,ETS2,A,PDE7A,1.0
7,ETS2,A,MSR1,1.0
8,ETS2,A,ERG,1.0
9,ETS2,A,EGR1,1.0
10,ETS2,A,CSF3R,1.0
11,ETS2,A,CDK1,1.0
12,ETS2,A,CD163,1.0
13,ETS2,A,ANGPT2,1.0
14,ETS1,A,WAS,1.0
15,ETS1,A,TNFSF14,1.0
16,ETS1,A,TGFBR2,1.0
17,ETS1,A,TBXAS1,-1.0
18,ETS1,A,TAF12,1.0
19,ETS1,A,SPRY2,1.0
20,ETS1,A,SLC26A3,1.0
21,ETS1,A,NDRG1,-1.0
22,FLI1,A,ID2,1.0
23,FOS,A,ACTA1,1.0
24,FOS,A,BATF3,1.0
25,FOS,A,BCL2L1,1.0
26,FOXA1,A,CFTR,-1.0
27,FOXA1,A,ABCA1,-1.0
28,FOSL2,A,NOS2,1.0
29,FOSL2,A,FOSL1,1.0
30,FOSL2,A,CCR4,1.0
31,FOSL2,A,BRCA1,1.0
32,FOSL2,A,BCL6,1.0
33,FOSL1,A,ITGB3,-1.0
34,FOS,A,SRR,1.0
35,FOS,A,SPRR3,1.0
36,ETS1,A,MDM2,-1.0
37,SPI1,A,FOS,1.0
38,FOS,A,PLAU,1.0
39,FOS,A,PDHA1,1.0
40,FOS,A,NTS,1.0
41,FOS,A,NTF3,1.0
42,FOS,A,NEFL,1.0
43,FOS,A,LRIG2,1.0
44,FOS,A,HSPH1,1.0
45,FOS,A,FOXA1,1.0
46,FOS,A,FAS,1.0
47,FOS,A,DDIT3,1.0
48,FOS,A,SMAD4,1.0
49,FOXA1,A,ESR1,1.0
50,ETS1,A,LCK,1.0
51,ETS1,A,IL3,-1.0
52,ESR1,A,CEBPB,1.0
53,ESR1,A,BLM,1.0
54,ERG,A,TMPRSS2,1.0
55,ERG,A,FGF2,-1.0
56,EPAS1,A,CA9,1.0
57,YY1,A,EP300,1.0
58,ELK1,A,PDGFB,1.0
59,ELK1,A,FUT4,1.0
60,ELK1,A,ERBB2,1.0
61,ELK1,A,CITED2,1.0
62,EGR1,A,UBE2S,1.0
63,EGR1,A,TOE1,1.0
64,EGR1,A,TFPI2,1.0
65,EGR1,A,TCF4,1.0
66,EGR1,A,PTP4A1,1.0
67,EGR1,A,PTGS2,1.0
68,EGR1,A,POR,1.0
69,EGR1,A,PLAUR,1.0
70,EGR1,A,PLAU,1.0
71,EGR1,A,PCSK2,1.0
72,EGR1,A,LMTK2,1.0
73,ESR1,A,CHAT,1.0
74,ESR1,A,CTNNB1,-1.0
75,ESR1,A,CXCL12,1.0
76,ESR1,A,JUNB,1.0
77,ETS1,A,IL2RB,1.0
78,ETS1,A,HPGD,1.0
79,ETS1,A,GP6,1.0
80,ETS1,A,FGFBP1,1.0
81,ETS1,A,F13A1,1.0
82,ETS1,A,ERG,1.0
83,ETS1,A,CSNK2B,1.0
84,ETS1,A,CSF3R,1.0
85,ETS1,A,COL1A1,1.0
86,ETS1,A,CD8A,1.0
87,ETS1,A,ITGB3,1.0
88,ETS1,A,EMSY,1.0
89,ESR2,A,TFF1,1.0
90,ESR2,A,PTPRC,1.0
91,ESR2,A,MKNK2,1.0
92,ESR2,A,JUN,1.0
93,ESR2,A,FOS,-1.0
94,ESR2,A,CTSD,1.0
95,ESR2,A,CD68,1.0
96,ESR1,A,YWHAQ,1.0
97,ESR1,A,UGT2B15,1.0
98,ESR1,A,MICB,1.0
99,ESRRA,A,NR2F6,-1.0
100,EGR1,A,IMPDH2,1.0
101,FOXA1,A,KRT7,1.0
102,FOXA1,A,NF1,1.0
103,JUN,A,CD82,1.0
104,JUN,A,BATF3,1.0
105,JUN,A,ACTA1,1.0
106,IRF9,A,PML,1.0
107,IRF9,A,IL27,1.0
108,IRF7,A,IFNA2,1.0
109,IRF7,A,CXCL10,1.0
110,IRF5,A,TNF,1.0
111,IRF4,A,FCER2,1.0
112,IRF3,A,PURA,-1.0
113,IRF3,A,IRF7,1.0
114,IRF1,A,IL10,1.0
115,IRF1,A,CASP7,1.0
116,HSF2,A,MAPK8,-1.0
117,HSF2,A,MAP2K4,-1.0
118,HOXD3,A,ITGB3,1.0
119,HOXD3,A,ITGB1,1.0
120,HOXC8,A,TNFRSF11B,-1.0
121,HOXB13,A,TCF4,-1.0
122,HOXA5,A,TH,1.0
123,HOXA4,A,TH,1.0
124,JUN,A,CREM,1.0
125,JUN,A,CTSL,1.0
126,JUN,A,ETS2,1.0
127,JUN,A,HEY1,1.0
128,LEF1,A,NRCAM,1.0
129,LEF1,A,CCL7,1.0
130,LEF1,A,BIRC5,1.0
131,KLF6,A,LTC4S,1.0
132,KLF4,A,THBD,1.0
133,KLF10,A,CDKN1A,1.0
134,JUND,A,ITGB3,-1.0
135,JUND,A,ITGAV,-1.0
136,JUND,A,IL3,1.0
137,JUN,A,VCAM1,1.0
138,HOXA10,A,ITGB3,1.0
139,JUN,A,TXN,1.0
140,JUN,A,TIMP2,1.0
141,JUN,A,SPRR3,1.0
142,JUN,A,RUNX2,1.0
143,JUN,A,RARB,1.0
144,JUN,A,POLD2,1.0
145,JUN,A,PDHA1,1.0
146,JUN,A,NOX5,1.0
147,JUN,A,NFKB2,1.0
148,JUN,A,MGP,1.0
149,JUN,A,LBP,-1.0
150,JUN,A,TNFRSF10A,1.0
151,FOXA1,A,MYC,1.0
152,HNF4G,A,CYP2D6,1.0
153,HNF4A,A,TBP,1.0
154,GLI2,A,FOXA2,1.0
155,GLI2,A,FAS,-1.0
156,GLI1,A,EGR2,-1.0
157,GFI1B,A,MEF2C,1.0
158,GATA3,A,TCF7L2,1.0
159,RELA,A,GATA3,1.0
160,GATA3,A,NFKB1,1.0
161,NFKB1,A,GATA3,1.0
162,GATA3,A,IL12RB2,-1.0
163,GATA3,A,EPOR,1.0
164,GATA3,A,CDX2,1.0
165,GATA3,A,CDH1,1.0
166,GATA2,A,DPYSL2,1.0
167,FOXP3,A,CCR4,1.0
168,FOXP1,A,RAG1,1.0
169,FOXO4,A,TNFSF10,1.0
170,FOXO1,A,RAG1,1.0
171,FOXM1,A,CDC25B,1.0
172,FOXL2,A,SIRT1,1.0
173,FOXA2,A,CFTR,-1.0
174,FOXA1,A,RET,1.0
175,GLI2,A,FST,1.0
176,GLI2,A,WNT2B,1.0
177,HBP1,A,NCF1,-1.0
178,HEY2,A,ACTA2,-1.0
179,HNF4A,A,SERPINC1,1.0
180,HNF4A,A,PCSK9,1.0
181,HNF4A,A,LDLR,1.0
182,HNF4A,A,GPR39,1.0
183,HNF4A,A,CEACAM1,1.0
184,HNF4A,A,ABCG5,-1.0
185,HLF,A,RUNX1,-1.0
186,HIF1A,A,ZNF217,1.0
187,HIF1A,A,VEGFB,1.0
188,HIF1A,A,TLR6,1.0
189,HNF4A,A,TCF7L2,1.0
190,HIF1A,A,TLR2,1.0
191,HIF1A,A,PPP1R3C,1.0
192,HIF1A,A,NR3C1,1.0
193,HIF1A,A,MIF,1.0
194,HIF1A,A,FAM162A,1.0
195,HIF1A,A,ENO1,1.0
196,HIF1A,A,E2F3,1.0
197,HIF1A,A,CXCL12,1.0
198,HIC1,A,VLDLR,-1.0
199,HHEX,A,HNF4A,1.0
200,HEY2,A,GATA6,-1.0
201,HIF1A,A,SOCS1,1.0
202,EGR1,A,IL2RB,1.0
203,EGR1,A,HYAL1,1.0
204,EGR1,A,FCER2,-1.0
205,ATF1,A,CYP11B2,1.0
206,ATF1,A,CYP11B1,1.0
207,ATF1,A,CCNA1,-1.0
208,FOS,A,ARNT,1.0
209,ARNT,A,BHLHE40,1.0
210,AR,A,TRPS1,1.0
211,AR,A,PNRC1,1.0
212,AR,A,PIGR,1.0
213,AR,A,NDRG1,1.0
214,AR,A,KLF5,1.0
215,AR,A,FOXA1,1.0
216,AR,A,CDH2,1.0
217,TCFL5,A,CD2,-1.0
218,NFAT5,A,S100A4,1.0
219,MXD4,A,ODC1,-1.0
220,CEBPZ,A,SOX9,1.0
221,CEBPZ,A,MLH1,-1.0
222,CEBPZ,A,COL11A1,-1.0
223,GATA3,A,IL2RA,1.0
224,GATA3,A,IL4R,1.0
225,TP63,A,PPARA,1.0
226,ATF1,A,ERBB2,1.0
227,ATF1,A,FLT1,1.0
228,ATF1,A,LDHA,1.0
229,ATF1,A,MAP1LC3B,1.0
230,CEBPA,A,FN1,1.0
231,CEBPA,A,CXCR2,1.0
232,CEBPA,A,CSF1,1.0
233,CDX2,A,SLC9A2,1.0
234,BCL6,A,IRF4,-1.0
235,BCL6,A,HDAC7,-1.0
236,ATF6,A,SRF,1.0
237,ATF6,A,RTN3,1.0
238,ATF6,A,DNAJC3,1.0
239,ATF6,A,DDIT3,1.0
240,KLF11,A,PDX1,1.0
241,ATF5,A,DISC1,1.0
242,ATF4,A,CXCL8,1.0
243,ATF2,A,PCK2,1.0
244,ATF2,A,IMPDH2,1.0
245,ATF2,A,CYP11B2,1.0
246,ATF2,A,CYP11B1,1.0
247,ATF1,A,TOP2A,1.0
248,ATF1,A,SLC20A1,1.0
249,ATF1,A,PLAUR,1.0
250,ATF1,A,PCSK1,1.0
251,ATF1,A,NTS,1.0
252,ATF4,A,DISC1,1.0
253,CEBPA,A,HOMER3,1.0
254,ZNF202,A,ABCA1,-1.0
255,YY1,A,FDPS,-1.0
256,TFAP2A,A,CSH1,1.0
257,TEAD1,A,MSLN,1.0
258,ZEB1,A,SPRR1B,1.0
259,ZEB1,A,LAMC2,-1.0
260,ZEB1,A,ITGB4,-1.0
261,TCF7L2,A,GLCE,1.0
262,TCF7L2,A,MYC,1.0
263,TCF3,A,CR2,1.0
264,HNF1A,A,SLC22A10,1.0
265,HNF1A,A,CYP3A4,1.0
266,TBP,A,FN1,1.0
267,TBP,A,APP,1.0
268,TAL1,A,SSH2,1.0
269,TAL1,A,CDH23,1.0
270,TAL1,A,NBAS,1.0
271,TAL1,A,PLEKHO1,1.0
272,TAL1,A,CHST11,1.0
273,TAL1,A,USP34,1.0
274,TAL1,A,PPP3CA,1.0
275,TAL1,A,BRF1,1.0
276,TAL1,A,C3AR1,1.0
277,TFAP2A,A,NME3,1.0
278,TFAP2A,A,SERPINE1,1.0
279,TFAP2A,A,SMPD1,1.0
280,NR2F1,A,APOC3,-1.0
281,VDR,A,IL10,1.0
282,USF2,A,SF1,1.0
283,USF2,A,TGFB2,1.0
284,USF2,A,TCN2,1.0
285,USF2,A,P4HA1,1.0
286,USF2,A,CYP1A2,1.0
287,USF2,A,CEACAM1,1.0
288,USF1,A,SERBP1,1.0
289,USF1,A,TGFB2,1.0
290,USF1,A,TCN2,1.0
291,ZNF143,A,ESCO2,1.0
292,USF1,A,P4HA1,1.0
293,USF1,A,CYP3A4,1.0
294,USF1,A,CYP1A2,1.0
295,TP53,A,MRPL27,1.0
296,TP53,A,HNRNPUL1,1.0
297,TP53,A,ASCC3,1.0
298,TP53,A,TCEAL1,1.0
299,TP53,A,CCNK,1.0
300,TP53,A,GPX1,1.0
301,NKX2-1,A,SFTPA1,1.0
302,NR2F2,A,PPARA,-1.0
303,USF1,A,OGN,1.0
304,CEBPA,A,HSPA4,1.0
305,CEBPA,A,ICAM1,1.0
306,CEBPA,A,ID1,1.0
307,E2F1,A,MYB,1.0
308,E2F1,A,MEFV,1.0
309,E2F1,A,MCM5,1.0
310,E2F1,A,MAPK8,1.0
311,E2F1,A,MAP1LC3A,1.0
312,E2F1,A,KDR,1.0
313,E2F1,A,IL1B,1.0
314,E2F1,A,GINS3,1.0
315,E2F1,A,FLT1,1.0
316,E2F1,A,FHIT,-1.0
317,E2F1,A,FANCA,1.0
318,E2F1,A,ETV4,1.0
319,E2F1,A,ERCC1,1.0
320,E2F1,A,DRAM1,1.0
321,E2F1,A,DNMT1,1.0
322,E2F1,A,CUX1,1.0
323,E2F1,A,CTNNBIP1,1.0
324,E2F1,A,CASP7,1.0
325,E2F1,A,AURKA,1.0
326,DNMT1,A,TIMP3,-1.0
327,DNMT1,A,SFRP5,1.0
328,E2F1,A,MYH10,1.0
329,E2F1,A,NPAT,1.0
330,E2F1,A,PTPRO,1.0
331,E2F1,A,RASGEF1B,1.0
332,EGR1,A,EP300,1.0
333,EGR1,A,CDK5R1,1.0
334,EGR1,A,AKR1B1,1.0
335,E2F8,A,E2F1,-1.0
336,E2F7,A,E2F1,-1.0
337,E2F5,A,MYC,1.0
338,E2F4,A,TOPBP1,-1.0
339,E2F4,A,MCM10,-1.0
340,E2F4,A,LIN54,1.0
341,E2F4,A,HCFC1,1.0
342,DNMT1,A,MSH2,1.0
343,E2F4,A,CUX1,1.0
344,E2F4,A,AURKB,1.0
345,E2F3,A,PLK1,1.0
346,E2F1,A,ZNF350,-1.0
