,source,confidence,target,weight
347,E2F1,A,WWOX,-1.0
348,E2F1,A,ULK1,1.0
349,E2F1,A,TOP2A,1.0
350,E2F1,A,RRP1B,1.0
351,E2F1,A,RRM2,1.0
352,E2F1,A,RRM1,1.0
353,E2F1,A,RASGRP1,1.0
354,E2F4,A,CDK2,1.0
355,CTCF,A,SLC6A4,1.0
356,CTCF,A,SIX5,1.0
357,CTCF,A,PTPRG,1.0
358,CEBPE,A,CTSG,1.0
359,CEBPD,A,POU5F1,1.0
360,CEBPD,A,GADD45G,1.0
361,CEBPB,A,SLC10A1,1.0
362,CEBPB,A,IL24,1.0
363,CEBPB,A,GADD45G,1.0
364,CEBPB,A,FURIN,1.0
365,CEBPB,A,F8,1.0
366,CEBPB,A,CSRP1,1.0
367,CEBPB,A,CSF3R,1.0
368,CEBPE,A,GATA1,-1.0
369,CEBPA,A,VLDLR,1.0
370,CEBPA,A,SLC10A1,1.0
371,CEBPA,A,SERPINC1,1.0
372,CEBPA,A,SAA1,1.0
373,CEBPA,A,PCK2,1.0
374,CEBPA,A,MSR1,1.0
375,CEBPA,A,MAD1L1,1.0
376,CEBPA,A,IL5,1.0
377,CEBPA,A,IL3,1.0
378,CEBPA,A,IL10,1.0
379,CEBPA,A,IGF1,1.0
380,CEBPA,A,STAT3,1.0
381,LEF1,A,NT5E,1.0
382,CEBPE,A,MYC,-1.0
383,CREB1,A,BDKRB1,1.0
384,CTCF,A,PBXIP1,1.0
385,CTCF,A,ETNK2,1.0
386,CTCF,A,DMPK,1.0
387,CTCF,A,CCND1,1.0
388,CTCF,A,BBC3,1.0
389,CTCF,A,ASAP2,1.0
390,CREM,A,DUSP1,-1.0
391,CREB3L1,A,SLC1A4,-1.0
392,CREB1,A,SLC20A1,1.0
393,CREB1,A,SLC19A1,1.0
394,CREB1,A,ADRA1A,1.0
395,CREB1,A,RRM2B,1.0
396,CREB1,A,ODC1,1.0
397,CREB1,A,NTS,1.0
398,CREB1,A,MSMB,1.0
399,CREB1,A,HPGD,1.0
400,CREB1,A,HLA-DQB1,1.0
401,CREB1,A,ERBB2,1.0
402,CREB1,A,CYP17A1,1.0
403,CREB1,A,CYP11B1,1.0
404,CREB1,A,CXCR4,1.0
405,CREB1,A,CCL5,1.0
406,CREB1,A,POLD2,1.0
407,STAT6,A,CCL17,1.0
408,LEF1,A,TCF3,1.0
409,MEF2C,A,CPT1B,1.0
410,SMAD3,A,FSTL3,1.0
411,SMAD3,A,COL7A1,1.0
412,SMAD3,A,AHR,1.0
413,SMAD1,A,TNFRSF11B,1.0
414,SALL4,A,ZEB1,1.0
415,RXRA,A,CPT1B,1.0
416,RXRA,A,ABCC3,-1.0
417,RUNX3,A,TCF4,1.0
418,RUNX3,A,MMP9,-1.0
419,RUNX3,A,ICAM3,-1.0
420,RUNX3,A,CFLAR,-1.0
421,RUNX3,A,CASP8,1.0
422,RUNX1,A,PIK3CD,1.0
423,RUNX1,A,NFKB1,1.0
424,RUNX1,A,MECOM,1.0
425,RUNX1,A,MAD2L1,-1.0
426,RUNX1,A,ITGB2,1.0
427,RORC,A,IL22,1.0
428,RORC,A,IL17A,1.0
429,RORA,A,TUBA1B,1.0
430,RFX5,A,HLA-DRB5,1.0
431,SMAD3,A,ZFP36,1.0
432,SMAD4,A,AHR,1.0
433,SMAD4,A,BTRC,-1.0
434,SMAD4,A,COL7A1,1.0
435,SP1,A,CD83,1.0
436,SP1,A,CD163,1.0
437,SP1,A,AREG,1.0
438,SP1,A,AGT,1.0
439,SP1,A,ADRA2B,1.0
440,SP1,A,ADRA1A,1.0
441,SP1,A,ADH6,1.0
442,SP1,A,ADAM10,1.0
443,SP1,A,ACAN,1.0
444,SOX9,A,PRAME,-1.0
445,RFX5,A,HLA-DRB4,1.0
446,SOX6,A,TP53,1.0
447,SOX2,A,RHO,-1.0
448,SOX2,A,ISL1,-1.0
449,SOX10,A,COL11A2,1.0
450,SNAI2,A,JAG1,1.0
451,SNAI2,A,CXCR4,1.0
452,SNAI1,A,THBS1,-1.0
453,SNAI1,A,HBEGF,1.0
454,SMAD4,A,ZFP36,1.0
455,SMAD4,A,EPO,1.0
456,SMAD4,A,DACH1,-1.0
457,SOX4,A,HDAC8,1.0
458,SP1,A,COL18A1,1.0
459,RFX5,A,HLA-DRB3,1.0
460,RFX5,A,HLA-DRA,1.0
461,RELA,A,PTHLH,1.0
462,RELA,A,PPARD,-1.0
463,RELA,A,PLAUR,1.0
464,RELA,A,PCK2,-1.0
465,RELA,A,OPTN,1.0
466,RELA,A,NOLC1,1.0
467,RELA,A,NCAM1,1.0
468,RELA,A,MMP2,1.0
469,RELA,A,MMP14,1.0
470,RELA,A,KLK3,1.0
471,RELA,A,IRF4,1.0
472,RELA,A,IL1A,1.0
473,RELA,A,IL18,1.0
474,RELA,A,HDAC1,1.0
475,RELA,A,GADD45G,1.0
476,RELA,A,VEGFD,1.0
477,HNF4A,A,ANK3,1.0
478,RELA,A,EPAS1,1.0
479,E2F1,A,RELA,1.0
480,RELA,A,CTSB,1.0
481,RELA,A,COL2A1,-1.0
482,RELA,A,PTPN13,1.0
483,RELA,A,RIPK2,1.0
484,RELA,A,SLC25A27,1.0
485,RELA,A,SNAI1,1.0
486,RFX5,A,HLA-DQB1,1.0
487,RFX5,A,HLA-DQA2,1.0
488,RFX5,A,HLA-DQA1,1.0
489,RFX5,A,HLA-DPB1,1.0
490,RFX5,A,HLA-DPA1,1.0
491,RFX5,A,HLA-DOB,1.0
492,RFX5,A,HLA-DOA,1.0
493,RFX5,A,HLA-DMB,1.0
494,RFX5,A,HLA-DMA,1.0
495,RFX1,A,MYC,-1.0
496,RFX5,A,HLA-DRB1,1.0
497,RELB,A,PIGR,1.0
498,RELB,A,CCL21,1.0
499,RELB,A,CCL19,1.0
500,RELA,A,XIAP,1.0
501,RELA,A,VEGFA,1.0
502,RELA,A,TRIB3,-1.0
503,RELA,A,TNFRSF10B,1.0
504,RELA,A,TNFRSF10A,-1.0
505,RELA,A,TNFAIP3,1.0
506,RELA,A,THBD,-1.0
507,RELA,A,TBX21,1.0
508,RELB,A,CD40,1.0
509,RELA,A,COL1A1,-1.0
510,SP1,A,CYP7A1,1.0
511,SP1,A,HCN2,1.0
512,STAT1,A,IL2RA,1.0
513,STAT1,A,IL1R1,-1.0
514,STAT1,A,HMOX1,1.0
515,STAT1,A,FGFR3,-1.0
516,STAT1,A,EGFR,1.0
517,STAT1,A,CTSL,1.0
518,STAT1,A,CTSB,1.0
519,STAT1,A,CFTR,1.0
520,STAT1,A,CEBPE,1.0
521,STAT1,A,CCR1,1.0
522,STAT1,A,CCL3,1.0
523,STAT1,A,APP,1.0
524,SRF,A,SAMD4A,1.0
525,SRF,A,MMP2,1.0
526,SRF,A,FOSL1,1.0
527,SRF,A,ACTA1,1.0
528,SPIB,A,IRF7,-1.0
529,SPI1,A,WAS,1.0
530,SPI1,A,STAT3,1.0
531,SPI1,A,SCARB2,1.0
532,SPI1,A,SCARB1,1.0
533,STAT1,A,KRT17,1.0
534,STAT1,A,NOX5,1.0
535,STAT1,A,PIM1,1.0
536,STAT1,A,PLSCR1,1.0
537,STAT4,A,PIM1,1.0
538,STAT3,A,ZFP36,1.0
539,STAT3,A,VEGFB,1.0
540,STAT3,A,NOX5,1.0
541,STAT3,A,MYD88,1.0
542,STAT3,A,LTBP1,-1.0
543,STAT3,A,IL2RA,1.0
544,STAT3,A,IFNAR1,1.0
545,STAT3,A,HSPB1,1.0
546,STAT3,A,HMOX1,1.0
547,SPI1,A,P2RY10,1.0
548,STAT3,A,FAS,-1.0
549,STAT3,A,CISH,1.0
550,STAT3,A,CFB,1.0
551,STAT3,A,CDK4,1.0
552,STAT3,A,CCND3,1.0
553,STAT1,A,VIP,1.0
554,STAT1,A,TP53,1.0
555,TP53,A,STAT1,1.0
556,STAT1,A,TLR3,1.0
557,STAT1,A,TIMP1,1.0
558,STAT1,A,STAT2,1.0
559,STAT3,A,CSRP1,1.0
560,SP1,A,GH2,1.0
561,SPI1,A,MSR1,1.0
562,SPI1,A,MACROD1,-1.0
563,SP1,A,TGM4,1.0
564,SP1,A,TFPI2,1.0
565,SP1,A,RORA,1.0
566,SP1,A,PPL,1.0
567,SP1,A,PDHA1,1.0
568,SP1,A,PDE6A,1.0
569,SP1,A,NFKB2,1.0
570,SP1,A,MPG,1.0
571,SP1,A,MNDA,1.0
572,SP1,A,MME,1.0
573,SP1,A,MCTS1,1.0
574,SP1,A,MAT2B,1.0
575,SP1,A,KRT5,1.0
576,SP1,A,KRT19,1.0
577,SP1,A,IMPDH2,1.0
578,SP1,A,IL2RB,1.0
579,SP1,A,HTR1A,1.0
580,SP1,A,HSD17B1,1.0
581,SP1,A,HOXB7,1.0
582,SP1,A,HLA-G,1.0
583,SP1,A,HDAC4,1.0
584,SP1,A,TNFSF14,1.0
585,SP1,A,YY1,1.0
586,SP100,A,ETS1,-1.0
587,SP2,A,DNMT3B,1.0
588,SPI1,A,IL5,1.0
589,SPI1,A,ERAP2,1.0
590,SPI1,A,CSF2RA,1.0
591,SPI1,A,CD22,1.0
592,SPI1,A,CD163,1.0
593,SPI1,A,BPI,1.0
594,SPDEF,A,AGR2,1.0
595,SP4,A,YY1,1.0
596,SP4,A,PDE6B,1.0
597,SP4,A,ERBB2,1.0
598,SPI1,A,MNDA,1.0
599,SP3,A,TIMP2,1.0
600,SP3,A,SLC1A3,1.0
601,SP3,A,SLC19A3,1.0
602,SP3,A,RORA,1.0
603,SP3,A,MSH6,1.0
604,SP3,A,HOXB7,1.0
605,SP3,A,ETF1,-1.0
606,SP3,A,CYP17A1,1.0
607,SP3,A,CD83,1.0
608,SP3,A,CD14,1.0
609,SP3,A,BPI,1.0
610,SP3,A,TGM4,1.0
611,RELA,A,CFLAR,1.0
612,RELA,A,CDK6,1.0
613,RELA,A,CDK4,1.0
614,NFKB1,A,CD58,1.0
615,NFKB1,A,CCR7,1.0
616,NFKB1,A,CCND2,1.0
617,NFKB1,A,CCL5,1.0
618,NFKB1,A,CCL4,1.0
619,NFKB1,A,CCL3,1.0
620,NFKB1,A,CCL22,1.0
621,NFKB1,A,BST1,1.0
622,NFKB1,A,BIRC3,1.0
623,NFKB1,A,BIRC2,1.0
624,NFKB1,A,B2M,1.0
625,NFKB1,A,ATF3,1.0
626,NFKB1,A,AMH,1.0
627,NFKB1,A,AKT1,-1.0
628,NFKB1,A,AGER,1.0
629,NFKB1,A,ADORA1,1.0
630,NFKB1,A,ABCB1,1.0
631,NFKB1,A,A2M,1.0
632,NFIC,A,TFPI2,1.0
633,NFIC,A,SLC34A2,1.0
634,NFIC,A,POLE2,1.0
635,NFKB1,A,CD69,1.0
636,NFKB1,A,CD80,1.0
637,NFKB1,A,CD83,1.0
638,NFKB1,A,CD86,1.0
639,NFKB1,A,LPL,1.0
640,NFKB1,A,KLK3,1.0
641,NFKB1,A,JUNB,1.0
642,NFKB1,A,IL18,1.0
643,NFKB1,A,IL12B,-1.0
644,NFKB1,A,IL12A,1.0
645,NFKB1,A,HLA-F,1.0
646,NFKB1,A,GSTP1,1.0
647,NFKB1,A,GDNF,1.0
648,NFKB1,A,GADD45G,1.0
649,NFIC,A,POLD2,1.0
650,NFKB1,A,VEGFD,1.0
651,NFKB1,A,FASLG,1.0
652,NFKB1,A,F8,1.0
653,NFKB1,A,F3,1.0
654,NFKB1,A,EDN1,1.0
655,NFKB1,A,CYP27B1,1.0
656,NFKB1,A,CYP19A1,-1.0
657,NFKB1,A,CXCL2,1.0
658,NFKB1,A,CTSB,1.0
659,NFKB1,A,CSNK2A1,1.0
660,NFKB1,A,COL1A1,-1.0
661,NFKB1,A,FBP1,1.0
662,NFKB1,A,MADCAM1,1.0
663,NFIC,A,MATN1,-1.0
664,NFIC,A,ITGA5,-1.0
665,MYB,A,WAS,1.0
666,MYB,A,TK1,1.0
667,MYB,A,SIM2,1.0
668,MYB,A,NMU,1.0
669,MZF1,A,MYB,1.0
670,MYB,A,GSTM1,1.0
671,MYB,A,COL1A1,1.0
672,MYB,A,CEBPA,1.0
673,MSC,A,MMP2,1.0
674,MSC,A,IL10,1.0
675,MITF,A,SERPINF1,1.0
676,MITF,A,PRKCB,1.0
677,MITF,A,PMEL,1.0
678,MITF,A,HERC2,1.0
679,MITF,A,GPNMB,1.0
680,MITF,A,CDK2,1.0
681,MITF,A,BCL2A1,-1.0
682,MEF2D,A,SOST,-1.0
683,MEF2D,A,ATF3,1.0
684,MEF2C,A,SOST,-1.0
685,MEF2C,A,NR4A1,-1.0
686,MYBL1,A,NCL,1.0
687,MYBL2,A,PSG1,1.0
688,MYC,A,ASS1,1.0
689,MYC,A,HDAC2,1.0
690,NFIC,A,HSD11B2,1.0
691,NFIC,A,HMGB1,1.0
692,NFIC,A,GUCY1B1,1.0
693,NFIC,A,GTF3C2,1.0
694,NFIC,A,GTF3C1,1.0
695,NFIC,A,COL1A1,1.0
696,NFIC,A,COL18A1,1.0
697,NFIC,A,ALAS1,1.0
698,NFIA,A,CDKN1A,-1.0
699,NFE2L2,A,MTHFR,1.0
700,NFIC,A,JUN,1.0
701,NFE2L2,A,GSTA1,1.0
702,NCOA3,A,BCL2,1.0
703,NANOG,A,LAMB1,-1.0
704,NANOG,A,L1TD1,1.0
705,NANOG,A,GATA4,-1.0
706,NANOG,A,CDX2,-1.0
707,MYC,A,WRN,1.0
708,MYC,A,TFAP4,1.0
709,MYC,A,ST3GAL1,1.0
710,MYC,A,SHMT1,1.0
711,MYC,A,HLA-F,1.0
712,NFATC1,A,IFNG,1.0
713,NFKB1,A,MAT2A,1.0
714,NFKB1,A,MICA,1.0
715,NFKB1,A,MMP14,1.0
716,PPARD,A,LPL,1.0
717,PPARA,A,TUBA1B,-1.0
718,PPARA,A,MMP9,-1.0
719,PPARA,A,APOBR,-1.0
720,PPARA,A,APOB,1.0
721,POU5F1,A,ID2,-1.0
722,POU3F2,A,GNRH1,1.0
723,POU3F1,A,GNRH1,1.0
724,POU2F2,A,SPP1,1.0
725,POU2F2,A,SPI1,1.0
726,POU2F2,A,IL5,1.0
727,POU2F1,A,TXNRD1,1.0
728,POU2F1,A,ST6GAL1,1.0
729,POU2F1,A,SNAPC1,1.0
730,POU2F1,A,RRM2B,1.0
731,POU2F1,A,POU2AF1,1.0
732,POU2F1,A,PLAU,1.0
733,POU2F1,A,GNRH1,1.0
734,POU2F1,A,GCM1,1.0
735,POU2F1,A,BDKRB1,1.0
736,POU1F1,A,GH2,1.0
737,PPARG,A,APOB,-1.0
738,PPARG,A,APOBR,-1.0
739,PPARG,A,CD83,1.0
740,PPARG,A,CPT1B,1.0
741,RELA,A,CD83,1.0
742,RELA,A,CD69,1.0
743,RELA,A,CD58,1.0
744,RELA,A,CCL4,1.0
745,RELA,A,BIRC5,1.0
746,RELA,A,BIRC2,1.0
747,RELA,A,AMH,1.0
