GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-34P13.7,45.82019,0.05040721354268852,0.27144671418314326,0.22800991814945487,0.8196385300308963,0.8716537241790485
RP11-34P13.8,29.560568,-0.06894909172706161,0.23460804529471446,-0.34543767209026566,0.7297653599254819,0.8013512152883688
CICP27,106.25706,0.12936783002503058,0.17230313722331286,0.8169247073815329,0.41397145716291694,0.5219937121278709
FO538757.2,33.114796,-0.5238915322209825,0.2805048254816215,-2.21774731357271,0.026572066279172173,0.0507944382049653
AP006222.2,67.1547,0.48300644064694703,0.26625838880453606,2.1398484153892334,0.03236701905811525,0.06058689529730276
RP4-669L17.10,25.052256,-0.10623166796918578,0.3741034782145257,-0.42251530412621824,0.6726489324651302,0.7569346259492037
MTND1P23,751.37427,-0.2632929496653919,0.2174473771095524,-1.3736612729458981,0.16954686503073912,0.25284566422700383
MTND2P28,2098.8003,-0.11184850492442248,0.25282324510131343,-0.5386601439001474,0.5901213795125511,0.6849866749179767
AC114498.1,412.10562,-0.2596174583035926,0.09349085179943921,-2.84566330294659,0.0044319028365234926,0.010055601904453962
MIR6723,20208.24,-0.5529011498217891,0.14906511270328537,-3.862064743782125,0.00011243275919158081,0.0003353007477344857
MIR6723-1,51.976154,-0.3633682799673551,0.33672912820243484,-1.4246519152899475,0.15425784515243474,0.23355286255634394
RP5-857K21.7,899.4245,-0.2653358339360599,0.17615073176764606,-1.6396661888179025,0.1010745927010079,0.1636166497854116
MTATP8P1,550.2476,-0.5086416383808107,0.1806935600916418,-3.03750510208178,0.0023854536639963102,0.00571955636353822
MTATP6P1,9431.854,-0.2256162460279195,0.27921289809781785,-1.2686974611344433,0.20454898833379953,0.2962713156839809
RP5-857K21.11,1706.2347,-0.33936491683354997,0.14635407502595135,-2.438613703796877,0.014743719569334745,0.029966563135313765
RP11-206L10.9,44.95418,0.12393608608871055,0.22898372109947757,0.62540708805712,0.5317039112690902,0.6335468780126101
LINC01128,702.07025,0.8191220178296876,0.06417756244156006,12.851778428131169,8.40553299703e-38,1.4876862278227822e-36
LINC00115,28.686945,-0.17521285081561405,0.3144182541668491,-0.7350920049671833,0.46228346313298285,0.5697098285226965
